,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
387,2399,映泰,股票,電腦及週邊設備業,1999/12/16
388,2401,凌陽,股票,半導體業,2000/01/27
389,2402,毅嘉,股票,電子零組件業,2000/01/14
390,2404,漢唐,股票,其他電子業,2000/03/14
391,2405,浩鑫,股票,電腦及週邊設備業,2000/03/17
392,2406,國碩,股票,光電業,2000/04/29
393,2408,南亞科,股票,半導體業,2000/08/17
394,2409,友達,股票,光電業,2000/09/08
395,2412,中華電,股票,通信網路業,2000/10/27
396,2413,環科,股票,電子零組件業,2000/09/11
397,2414,精技,股票,電子通路業,2000/09/11
398,2415,錩新,股票,電子零組件業,2000/09/11
399,2417,圓剛,股票,電腦及週邊設備業,2000/09/11
400,2419,仲琦,股票,通信網路業,2000/09/11
401,2420,新巨,股票,電子零組件業,2000/09/11
402,2421,建準,股票,電子零組件業,2000/09/11
403,2423,固緯,股票,其他電子業,2000/09/11
404,2424,隴華,股票,電腦及週邊設備業,2000/09/11
405,2425,承啟,股票,電腦及週邊設備業,2000/09/11
406,2426,鼎元,股票,光電業,2000/09/11
407,2427,三商電,股票,資訊服務業,2000/09/11
408,2428,興勤,股票,電子零組件業,2000/09/11
409,2429,銘旺科,股票,電子零組件業,2000/09/11
410,2430,燦坤,股票,電子通路業,2000/09/11
411,2431,聯昌,股票,電子零組件業,2000/09/11
412,2433,互盛電,股票,其他電子業,2000/09/11
413,2434,統懋,股票,半導體業,2000/09/11
414,2436,偉詮電,股票,半導體業,2000/09/11
415,2438,翔耀,股票,光電業,2000/09/11
416,2439,美律,股票,通信網路業,2000/09/11
417,2440,太空梭,股票,電子零組件業,2000/11/10
418,2441,超豐,股票,半導體業,2000/10/26
419,2442,新美齊,股票,電腦及週邊設備業,2000/11/22
420,2443,億麗,股票,其他業,2001/01/03
421,2444,兆勁,股票,通信網路業,2000/12/08
422,2449,京元電子,股票,半導體業,2001/05/09
423,2450,神腦,股票,通信網路業,2001/05/24
424,2451,創見,股票,半導體業,2001/05/03
425,2453,凌群,股票,資訊服務業,2001/05/22
426,2454,聯發科,股票,半導體業,2001/07/23
427,2455,全新,股票,通信網路業,2002/01/24
428,2456,奇力新,股票,電子零組件業,2001/09/26
429,2457,飛宏,股票,電子零組件業,2001/09/17
430,2458,義隆,股票,半導體業,2001/09/17
431,2459,敦吉,股票,電子通路業,2001/09/17
432,2460,建通,股票,電子零組件業,2001/09/17
433,2461,光群雷,股票,其他電子業,2001/09/17
